delivery_id,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,extras_type
1,1,1,Chennai Super Kings,Mumbai Indians,1,1,Batsman_58,Batsman_69,Bowler_73,0,0,0,,,,
2,1,1,Chennai Super Kings,Mumbai Indians,1,2,Batsman_89,Batsman_139,Bowler_53,6,0,6,,,,
3,1,1,Chennai Super Kings,Mumbai Indians,1,3,Batsman_134,Batsman_108,Bowler_69,2,0,2,,,,
4,1,1,Chennai Super Kings,Mumbai Indians,1,4,Batsman_77,Batsman_21,Bowler_51,4,0,4,,,,
5,1,1,Chennai Super Kings,Mumbai Indians,1,5,Batsman_147,Batsman_38,Bowler_16,6,0,6,,,,
6,1,1,Chennai Super Kings,Mumbai Indians,1,6,Batsman_55,Batsman_50,Bowler_17,0,2,2,,,,noballs
7,1,1,Chennai Super Kings,Mumbai Indians,2,1,Batsman_67,Batsman_82,Bowler_94,4,4,8,,,,noballs
8,1,1,Chennai Super Kings,Mumbai Indians,2,2,Batsman_134,Batsman_118,Bowler_2,3,0,3,,,,
9,1,1,Chennai Super Kings,Mumbai Indians,2,3,Batsman_107,Batsman_39,Bowler_19,2,0,2,,,,
10,1,1,Chennai Super Kings,Mumbai Indians,2,4,Batsman_28,Batsman_145,Bowler_100,0,0,0,,,,
11,1,1,Chennai Super Kings,Mumbai Indians,2,5,Batsman_106,Batsman_68,Bowler_50,2,0,2,,,,
12,1,1,Chennai Super Kings,Mumbai Indians,2,6,Batsman_104,Batsman_37,Bowler_80,2,0,2,Batsman_104,lbw,,
13,1,1,Chennai Super Kings,Mumbai Indians,3,1,Batsman_13,Batsman_122,Bowler_35,4,3,7,,,,legbyes
14,1,1,Chennai Super Kings,Mumbai Indians,3,2,Batsman_26,Batsman_59,Bowler_18,0,0,0,,,,
15,1,1,Chennai Super Kings,Mumbai Indians,3,3,Batsman_107,Batsman_23,Bowler_25,1,0,1,,,,
16,1,1,Chennai Super Kings,Mumbai Indians,3,4,Batsman_133,Batsman_96,Bowler_8,1,0,1,,,,
17,1,1,Chennai Super Kings,Mumbai Indians,3,5,Batsman_35,Batsman_135,Bowler_73,0,0,0,,,,
18,1,1,Chennai Super Kings,Mumbai Indians,3,6,Batsman_64,Batsman_9,Bowler_59,0,0,0,,,,
19,1,1,Chennai Super Kings,Mumbai Indians,4,1,Batsman_119,Batsman_130,Bowler_51,2,0,2,Batsman_119,lbw,,
20,1,1,Chennai Super Kings,Mumbai Indians,4,2,Batsman_115,Batsman_46,Bowler_61,2,0,2,,,,
21,1,1,Chennai Super Kings,Mumbai Indians,4,3,Batsman_24,Batsman_73,Bowler_4,1,0,1,,,,
22,1,1,Chennai Super Kings,Mumbai Indians,4,4,Batsman_57,Batsman_58,Bowler_87,0,0,0,,,,
23,1,1,Chennai Super Kings,Mumbai Indians,4,5,Batsman_3,Batsman_122,Bowler_17,2,0,2,Batsman_3,lbw,,
24,1,1,Chennai Super Kings,Mumbai Indians,4,6,Batsman_79,Batsman_71,Bowler_55,4,0,4,,,,
25,1,1,Chennai Super Kings,Mumbai Indians,5,1,Batsman_78,Batsman_134,Bowler_80,1,0,1,,,,
26,1,1,Chennai Super Kings,Mumbai Indians,5,2,Batsman_96,Batsman_144,Bowler_83,2,0,2,,,,
27,1,1,Chennai Super Kings,Mumbai Indians,5,3,Batsman_87,Batsman_71,Bowler_82,0,0,0,,,,
28,1,1,Chennai Super Kings,Mumbai Indians,5,4,Batsman_77,Batsman_49,Bowler_20,1,0,1,Batsman_77,stumped,Batsman_104,
29,1,1,Chennai Super Kings,Mumbai Indians,5,5,Batsman_36,Batsman_7,Bowler_84,1,0,1,,,,
30,1,1,Chennai Super Kings,Mumbai Indians,5,6,Batsman_10,Batsman_150,Bowler_91,6,0,6,,,,
31,1,1,Chennai Super Kings,Mumbai Indians,6,1,Batsman_137,Batsman_122,Bowler_86,1,0,1,,,,
32,1,1,Chennai Super Kings,Mumbai Indians,6,2,Batsman_143,Batsman_47,Bowler_38,0,0,0,,,,
33,1,1,Chennai Super Kings,Mumbai Indians,6,3,Batsman_47,Batsman_86,Bowler_84,0,0,0,,,,
34,1,1,Chennai Super Kings,Mumbai Indians,6,4,Batsman_85,Batsman_96,Bowler_34,2,0,2,,,,
35,1,1,Chennai Super Kings,Mumbai Indians,6,5,Batsman_150,Batsman_149,Bowler_80,0,0,0,,,,
36,1,1,Chennai Super Kings,Mumbai Indians,6,6,Batsman_98,Batsman_136,Bowler_39,1,0,1,,,,
37,1,1,Chennai Super Kings,Mumbai Indians,7,1,Batsman_88,Batsman_105,Bowler_73,4,0,4,,,,
38,1,1,Chennai Super Kings,Mumbai Indians,7,2,Batsman_47,Batsman_21,Bowler_63,0,0,0,,,,
39,1,1,Chennai Super Kings,Mumbai Indians,7,3,Batsman_116,Batsman_71,Bowler_27,3,0,3,,,,
40,1,1,Chennai Super Kings,Mumbai Indians,7,4,Batsman_23,Batsman_34,Bowler_79,1,0,1,,,,
41,1,1,Chennai Super Kings,Mumbai Indians,7,5,Batsman_2,Batsman_10,Bowler_69,0,0,0,Batsman_2,lbw,,
42,1,1,Chennai Super Kings,Mumbai Indians,7,6,Batsman_136,Batsman_49,Bowler_3,2,0,2,,,,
43,1,1,Chennai Super Kings,Mumbai Indians,8,1,Batsman_89,Batsman_80,Bowler_17,0,0,0,,,,
44,1,1,Chennai Super Kings,Mumbai Indians,8,2,Batsman_12,Batsman_77,Bowler_38,1,0,1,,,,
45,1,1,Chennai Super Kings,Mumbai Indians,8,3,Batsman_35,Batsman_88,Bowler_63,1,0,1,,,,
46,1,1,Chennai Super Kings,Mumbai Indians,8,4,Batsman_104,Batsman_5,Bowler_30,0,0,0,,,,
47,1,1,Chennai Super Kings,Mumbai Indians,9,1,Batsman_32,Batsman_94,Bowler_92,2,1,3,,,,legbyes
48,1,1,Chennai Super Kings,Mumbai Indians,10,1,Batsman_6,Batsman_13,Bowler_89,0,0,0,,,,
49,1,1,Chennai Super Kings,Mumbai Indians,10,2,Batsman_40,Batsman_53,Bowler_89,2,1,3,,,,noballs
50,1,1,Chennai Super Kings,Mumbai Indians,10,3,Batsman_36,Batsman_108,Bowler_14,1,0,1,,,,
51,1,1,Chennai Super Kings,Mumbai Indians,10,4,Batsman_128,Batsman_51,Bowler_78,0,0,0,,,,
52,1,1,Chennai Super Kings,Mumbai Indians,10,5,Batsman_105,Batsman_76,Bowler_21,0,0,0,,,,
53,1,1,Chennai Super Kings,Mumbai Indians,10,6,Batsman_85,Batsman_61,Bowler_1,0,0,0,,,,
54,1,1,Chennai Super Kings,Mumbai Indians,11,1,Batsman_127,Batsman_39,Bowler_12,3,3,6,,,,wides
55,1,1,Chennai Super Kings,Mumbai Indians,11,2,Batsman_76,Batsman_68,Bowler_60,0,0,0,,,,
56,1,1,Chennai Super Kings,Mumbai Indians,11,3,Batsman_93,Batsman_81,Bowler_55,3,0,3,,,,
57,1,1,Chennai Super Kings,Mumbai Indians,12,1,Batsman_44,Batsman_85,Bowler_46,4,0,4,,,,
58,1,1,Chennai Super Kings,Mumbai Indians,12,2,Batsman_96,Batsman_88,Bowler_24,0,0,0,,,,
59,1,1,Chennai Super Kings,Mumbai Indians,12,3,Batsman_123,Batsman_108,Bowler_84,4,0,4,,,,
60,1,1,Chennai Super Kings,Mumbai Indians,12,4,Batsman_41,Batsman_27,Bowler_54,4,0,4,,,,
61,1,1,Chennai Super Kings,Mumbai Indians,12,5,Batsman_98,Batsman_92,Bowler_79,0,0,0,,,,
62,1,1,Chennai Super Kings,Mumbai Indians,12,6,Batsman_34,Batsman_124,Bowler_63,0,0,0,Batsman_34,lbw,,
63,1,1,Chennai Super Kings,Mumbai Indians,13,1,Batsman_4,Batsman_135,Bowler_99,3,0,3,,,,
64,1,1,Chennai Super Kings,Mumbai Indians,13,2,Batsman_87,Batsman_133,Bowler_67,2,0,2,,,,
65,1,1,Chennai Super Kings,Mumbai Indians,13,3,Batsman_124,Batsman_89,Bowler_85,2,0,2,,,,
66,1,1,Chennai Super Kings,Mumbai Indians,13,4,Batsman_14,Batsman_3,Bowler_83,6,0,6,,,,
67,1,1,Chennai Super Kings,Mumbai Indians,13,5,Batsman_43,Batsman_20,Bowler_97,1,0,1,,,,
68,1,1,Chennai Super Kings,Mumbai Indians,13,6,Batsman_58,Batsman_141,Bowler_83,1,0,1,Batsman_58,run out,Batsman_147,
69,1,1,Chennai Super Kings,Mumbai Indians,14,1,Batsman_128,Batsman_115,Bowler_41,0,0,0,,,,
70,1,1,Chennai Super Kings,Mumbai Indians,14,2,Batsman_106,Batsman_10,Bowler_72,1,0,1,,,,
71,1,1,Chennai Super Kings,Mumbai Indians,14,3,Batsman_78,Batsman_131,Bowler_72,0,0,0,,,,
72,1,1,Chennai Super Kings,Mumbai Indians,14,4,Batsman_14,Batsman_58,Bowler_59,0,0,0,,,,
73,1,1,Chennai Super Kings,Mumbai Indians,14,5,Batsman_94,Batsman_116,Bowler_15,0,0,0,Batsman_94,lbw,,
74,1,1,Chennai Super Kings,Mumbai Indians,14,6,Batsman_75,Batsman_141,Bowler_67,1,0,1,,,,
75,1,1,Chennai Super Kings,Mumbai Indians,15,1,Batsman_105,Batsman_28,Bowler_33,2,0,2,,,,
76,1,1,Chennai Super Kings,Mumbai Indians,15,2,Batsman_118,Batsman_49,Bowler_92,0,0,0,Batsman_118,stumped,Batsman_32,
77,1,1,Chennai Super Kings,Mumbai Indians,15,3,Batsman_116,Batsman_118,Bowler_85,2,0,2,,,,
78,1,1,Chennai Super Kings,Mumbai Indians,16,1,Batsman_142,Batsman_111,Bowler_75,1,0,1,,,,
79,1,1,Chennai Super Kings,Mumbai Indians,16,2,Batsman_149,Batsman_45,Bowler_94,4,0,4,,,,
80,1,1,Chennai Super Kings,Mumbai Indians,16,3,Batsman_83,Batsman_130,Bowler_50,1,0,1,,,,
81,1,1,Chennai Super Kings,Mumbai Indians,16,4,Batsman_102,Batsman_88,Bowler_38,1,0,1,,,,
82,1,1,Chennai Super Kings,Mumbai Indians,16,5,Batsman_132,Batsman_77,Bowler_90,1,0,1,,,,
83,1,1,Chennai Super Kings,Mumbai Indians,16,6,Batsman_56,Batsman_52,Bowler_27,2,0,2,,,,
84,1,1,Chennai Super Kings,Mumbai Indians,17,1,Batsman_46,Batsman_129,Bowler_70,2,0,2,,,,
85,1,1,Chennai Super Kings,Mumbai Indians,17,2,Batsman_123,Batsman_150,Bowler_74,6,0,6,,,,
86,1,1,Chennai Super Kings,Mumbai Indians,17,3,Batsman_137,Batsman_74,Bowler_55,4,0,4,Batsman_137,caught,Batsman_14,
87,1,1,Chennai Super Kings,Mumbai Indians,17,4,Batsman_52,Batsman_69,Bowler_97,3,0,3,,,,
88,1,1,Chennai Super Kings,Mumbai Indians,17,5,Batsman_16,Batsman_76,Bowler_27,3,1,4,,,,noballs
89,1,1,Chennai Super Kings,Mumbai Indians,17,6,Batsman_144,Batsman_58,Bowler_96,2,0,2,,,,
90,1,1,Chennai Super Kings,Mumbai Indians,18,1,Batsman_74,Batsman_13,Bowler_49,1,0,1,,,,
91,1,1,Chennai Super Kings,Mumbai Indians,18,2,Batsman_142,Batsman_14,Bowler_2,3,0,3,,,,
92,1,1,Chennai Super Kings,Mumbai Indians,18,3,Batsman_114,Batsman_58,Bowler_82,3,0,3,,,,
93,1,1,Chennai Super Kings,Mumbai Indians,18,4,Batsman_51,Batsman_50,Bowler_38,1,0,1,Batsman_51,caught,Batsman_132,
94,1,1,Chennai Super Kings,Mumbai Indians,18,5,Batsman_11,Batsman_110,Bowler_36,2,0,2,,,,
95,1,1,Chennai Super Kings,Mumbai Indians,18,6,Batsman_85,Batsman_120,Bowler_91,6,1,7,,,,legbyes
96,1,1,Chennai Super Kings,Mumbai Indians,19,1,Batsman_78,Batsman_126,Bowler_74,2,2,4,,,,legbyes
97,1,1,Chennai Super Kings,Mumbai Indians,19,2,Batsman_130,Batsman_41,Bowler_54,1,0,1,,,,
98,1,1,Chennai Super Kings,Mumbai Indians,19,3,Batsman_85,Batsman_85,Bowler_47,0,0,0,,,,
99,1,1,Chennai Super Kings,Mumbai Indians,19,4,Batsman_144,Batsman_3,Bowler_15,2,0,2,,,,
100,1,1,Chennai Super Kings,Mumbai Indians,19,5,Batsman_63,Batsman_11,Bowler_88,4,0,4,,,,
101,1,1,Chennai Super Kings,Mumbai Indians,19,6,Batsman_66,Batsman_139,Bowler_93,0,0,0,,,,
102,1,1,Chennai Super Kings,Mumbai Indians,20,1,Batsman_131,Batsman_115,Bowler_63,0,0,0,,,,
103,1,1,Chennai Super Kings,Mumbai Indians,20,2,Batsman_25,Batsman_43,Bowler_99,1,2,3,,,,wides
104,1,1,Chennai Super Kings,Mumbai Indians,20,3,Batsman_109,Batsman_27,Bowler_27,1,0,1,,,,
105,1,1,Chennai Super Kings,Mumbai Indians,20,4,Batsman_19,Batsman_40,Bowler_4,1,0,1,,,,
106,1,1,Chennai Super Kings,Mumbai Indians,20,5,Batsman_65,Batsman_143,Bowler_10,2,0,2,,,,
107,1,1,Chennai Super Kings,Mumbai Indians,20,6,Batsman_104,Batsman_111,Bowler_41,0,0,0,,,,
108,1,2,Mumbai Indians,Chennai Super Kings,1,1,Batsman_17,Batsman_150,Bowler_6,3,3,6,,,,wides
109,1,2,Mumbai Indians,Chennai Super Kings,1,2,Batsman_23,Batsman_73,Bowler_98,6,0,6,,,,
110,1,2,Mumbai Indians,Chennai Super Kings,2,1,Batsman_57,Batsman_35,Bowler_96,1,0,1,,,,
111,1,2,Mumbai Indians,Chennai Super Kings,2,2,Batsman_37,Batsman_77,Bowler_87,4,0,4,,,,
112,1,2,Mumbai Indians,Chennai Super Kings,2,3,Batsman_3,Batsman_142,Bowler_72,0,1,1,,,,noballs
113,1,2,Mumbai Indians,Chennai Super Kings,2,4,Batsman_89,Batsman_55,Bowler_53,4,0,4,,,,
114,1,2,Mumbai Indians,Chennai Super Kings,2,5,Batsman_65,Batsman_50,Bowler_15,0,0,0,,,,
115,1,2,Mumbai Indians,Chennai Super Kings,2,6,Batsman_141,Batsman_119,Bowler_83,1,0,1,Batsman_141,bowled,,
116,1,2,Mumbai Indians,Chennai Super Kings,3,1,Batsman_149,Batsman_125,Bowler_43,1,0,1,,,,
117,1,2,Mumbai Indians,Chennai Super Kings,3,2,Batsman_18,Batsman_50,Bowler_41,1,0,1,,,,
118,1,2,Mumbai Indians,Chennai Super Kings,3,3,Batsman_40,Batsman_145,Bowler_73,1,0,1,,,,
119,1,2,Mumbai Indians,Chennai Super Kings,4,1,Batsman_57,Batsman_112,Bowler_36,4,0,4,,,,
120,1,2,Mumbai Indians,Chennai Super Kings,4,2,Batsman_119,Batsman_115,Bowler_46,3,0,3,,,,
121,1,2,Mumbai Indians,Chennai Super Kings,4,3,Batsman_21,Batsman_72,Bowler_18,4,0,4,,,,
122,1,2,Mumbai Indians,Chennai Super Kings,4,4,Batsman_20,Batsman_5,Bowler_65,2,0,2,,,,
123,1,2,Mumbai Indians,Chennai Super Kings,4,5,Batsman_55,Batsman_10,Bowler_71,0,0,0,,,,
124,1,2,Mumbai Indians,Chennai Super Kings,4,6,Batsman_39,Batsman_94,Bowler_51,0,0,0,,,,
